Glass,B1,B2,B3,C1,C2,C3
N-SSK2,1.4306027,0.153150554,1.01390904,0.00823983,0.033373684,106.870822
N-SSK5,1.59222659,0.103520774,1.05174016,0.009202846,0.042353007,106.927374
N-SSK8,1.44857867,0.117965926,1.06937528,0.008693101,0.042156659,111.300666
N-ZK7,1.07715032,0.168079109,0.851889892,0.006766017,0.023064282,89.0498778
N-ZK7A,1.07509891,0.168895044,0.860503983,0.006766017,0.023064282,89.0498778
P-BK7,1.18318503,0.087175643,1.03133701,0.00722142,0.026821681,101.702362
P-LAF37,1.76003244,0.248286745,1.15935122,0.009380064,0.036053746,86.4324693
P-LAK35,1.3932426,0.418882766,1.043807,0.007159597,0.023363745,88.3284426
P-LASF47,1.85543101,0.315854649,1.28561839,0.01003282,0.038709517,94.5421507
P-LASF50,1.84910553,0.329828674,1.30400901,0.009992348,0.038743799,95.8967681
P-LASF51,1.84568806,0.3390016,1.32418921,0.009884956,0.03780974,97.841543
P-SF68,2.3330067,0.452961396,1.25172339,0.016883842,0.071608633,118.707479
P-SF69,1.62594647,0.235927609,1.67434623,0.012169668,0.060071041,145.651908
P-SF8,1.55370411,0.206332561,1.39708831,0.011658267,0.058208776,130.748028
P-SK57,1.31053414,0.169376189,1.10987714,0.007408772,0.025456349,107.751087
P-SK57Q1,1.30536483,0.171434328,1.10117219,0.007364088,0.025578605,106.72606
P-SK58A,1.3167841,0.171154756,1.12501473,0.007207175,0.02456596,102.739728
P-SK60,1.40790442,0.143381417,1.16513947,0.007843824,0.028776937,105.373397
SF1,1.55912923,0.284246288,0.968842926,0.0121481,0.053454904,112.174809
SF10,1.61625977,0.259229334,1.07762317,0.012753456,0.058198395,116.60768
SF11,1.73848403,0.311168974,1.17490871,0.01360686,0.061596046,121.922711
SF2,1.40301821,0.231767504,0.939056586,0.010579547,0.049322698,112.405955
SF4,1.61957826,0.339493189,1.02566931,0.01255021,0.054455982,117.652222
SF5,1.46141885,0.247713019,0.949995832,0.011182613,0.050859467,112.041888
SF56A,1.70579259,0.344223052,1.09601828,0.01338747,0.057956161,121.616024
SF57,1.81651371,0.428893641,1.07186278,0.01437042,0.059280117,121.419942
SF57HTultra,1.81651371,0.428893641,1.07186278,0.01437042,0.059280117,121.419942
SF6,1.72448482,0.390104889,1.04572858,0.013487195,0.05693181,118.557185
SF6HT,1.72448482,0.390104889,1.04572858,0.013487195,0.05693181,118.557185
